"Geslacht";"Leeftijd";"Burgerlijke staat";"Perioden";"Regio's";"Bevolking op 1 januari (aantal)"
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Anna Paulowna";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Apeldoorn";146337
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Apeldoorn";153261
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Apeldoorn";156064
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Apeldoorn";162445
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Apeldoorn";163818
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Appingedam";12728
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Appingedam";12307
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Appingedam";12437
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Appingedam";11721
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Appingedam";11642
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Arcen en Velden";8649
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Arcen en Velden";9118
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Arcen en Velden";8892
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Arcen en Velden";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Arcen en Velden";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Arnemuiden";4459
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Arnemuiden";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Arnemuiden";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Arnemuiden";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Arnemuiden";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Arnhem";128107
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Arnhem";138154
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Arnhem";141321
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Arnhem";159265
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Arnhem";161348
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Assen";48714
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Assen";58445
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Assen";62755
